# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{-13,14}	 | 0.00038(0.00015) [PDG]	 | D+_nu_mumu+.dat;
{-11,12,-311}	 | 0.082(0.011) [PDG]	 | D+_Kbnu_ee+.dat;
{-13,14,-311}	 | 0.082(0.011) [PDG]	 | D+_Kbnu_mumu+.dat;
{-11,12,-313}	 | 0.056(0.004) [PDG]	 | D+_Kstar892bnu_ee+.dat;
{-13,14,-313}	 | 0.056(0.004) [PDG]	 | D+_Kstar892bnu_mumu+.dat;
{-11,12,-315}	 | 0.005(0.005) [FK, PDG:<0.01]	 | D+_K2star1430bnu_ee+.dat;
{-13,14,-315}	 | 0.005(0.005) [FK, PDG:<0.01]	 | D+_K2star1430bnu_mumu+.dat;
{-11,12,-10311}	 | 0.005(0.005) [FK, PDG:<0.007]	 | D+_K0star1430bnu_ee+.dat;
{-13,14,-10311}	 | 0.005(0.005) [FK, PDG:<0.007]	 | D+_K0star1430bnu_mumu+.dat;
{-11,12,-10313}	 | 0.010(0.010) [FK, PDG:<0.04]	 | D+_K11270bnu_ee+.dat;
{-13,14,-10313}	 | 0.010(0.010) [FK, PDG:<0.04]	 | D+_K11270bnu_mumu+.dat;
{-11,12,111}	 | 0.0038(0.0019) [PDG]	 | D+_pinu_ee+.dat;
{-13,14,111}	 | 0.0038(0.0019) [PDG]	 | D+_pinu_mumu+.dat;
{-11,12,113}	 | 0.0030(0.0010) [PDG]	 | D+_rho770nu_ee+.dat;
{-13,14,113}	 | 0.0030(0.0010) [PDG]	 | D+_rho770nu_mumu+.dat;
{-11,12,221}	 | 0.0020(0.0020) [FK, PDG:<0.005]	 | D+_etanu_ee+.dat;
{-13,14,221}	 | 0.0020(0.0020) [FK, PDG:<0.005]	 | D+_etanu_mumu+.dat;
{-11,12,223}	 | 0.0020(0.0010) [FK, analogy with rho]	 | D+_omega782nu_ee+.dat;
{-13,14,223}	 | 0.0020(0.0010) [FK, analogy with rho]	 | D+_omega782nu_mumu+.dat;
{-11,12,331}	 | 0.0020(0.0020) [FK, PDG:<0.011]	 | D+_etanu_ee+.dat;
{-13,14,331}	 | 0.0020(0.0020) [FK, PDG:<0.011]	 | D+_etanu_mumu+.dat;
{-11,12,333}	 | 0.0020(0.0010) [FK, PDG:<0.02]	 | D+_omega782nu_ee+.dat;
{-13,14,333}	 | 0.0020(0.0010) [FK, PDG:<0.03]	 | D+_omega782nu_mumu+.dat;
{111,211}	 | 0.0013(0.00022) [PDG]	 | D+_pi+pi.dat;
{211,221}	 | 0.00301(0.0006) [PDG]	 | D+_etapi+.dat;
{211,331}	 | 0.0051(0.001) [PDG]	 | D+_etaprime958pi+.dat;
{113,211}	 | 0.00105(0.00018) [PDG]	 | D+_pi+rho770.dat;
